iter	Passed	Remaining
0	68	47722
1	133	46597
2	198	46232
3	281	48971
4	349	48626
5	403	46728
6	473	46855
7	536	46403
8	602	46243
9	661	45671
10	732	45863
11	787	45133
12	846	44708
13	902	44228
14	962	43949
15	1025	43850
16	1073	43115
17	1143	43317
18	1207	43293
19	1295	44053
20	1368	44248
21	1431	44110
22	1492	43931
23	1566	44117
24	1633	44113
25	1689	43794
26	1754	43735
27	1813	43523
28	1885	43621
29	1957	43710
30	2020	43605
31	2073	43275
32	2127	42994
33	2195	43009
34	2256	42867
35	2316	42726
36	2377	42600
37	2429	42323
38	2484	42114
39	2558	42219
40	2625	42194
41	2698	42281
42	2767	42289
43	2839	42335
44	2899	42210
45	2970	42225
46	3038	42215
47	3097	42073
48	3171	42137
49	3240	42130
50	3314	42175
51	3369	41990
52	3442	42030
53	3496	41832
54	3557	41722
55	3642	41892
56	3729	42071
57	3794	41996
58	3860	41945
59	3924	41858
60	3996	41868
61	4074	41923
62	4139	41854
63	4226	41997
64	4290	41918
65	4357	41862
66	4414	41704
67	4486	41699
68	4558	41682
69	4620	41583
70	4697	41615
71	4768	41592
72	4847	41631
73	4918	41603
74	4996	41639
75	5069	41623
76	5129	41500
77	5191	41396
78	5261	41359
79	5326	41281
80	5393	41214
81	5468	41212
82	5540	41189
83	5622	41231
84	5716	41357
85	5788	41323
86	5855	41255
87	5913	41122
88	5993	41145
89	6080	41213
90	6151	41168
91	6221	41114
92	6299	41116
93	6402	41272
94	6477	41249
95	6552	41224
96	6621	41163
97	6693	41119
98	6766	41079
99	6838	41032
100	6913	40999
101	7005	41068
102	7072	40992
103	7138	40907
104	7212	40872
105	7289	40846
106	7362	40805
107	7426	40707
108	7496	40648
109	7576	40636
110	7647	40582
111	7706	40458
112	7781	40422
113	7853	40368
114	7939	40388
115	8004	40300
116	8087	40297
117	8166	40281
118	8239	40225
119	8304	40136
120	8380	40103
121	8450	40034
122	8532	40024
123	8604	39969
124	8670	39884
125	8744	39836
126	8778	39607
127	8861	39601
128	8933	39544
129	9009	39503
130	9099	39523
131	9169	39455
132	9243	39406
133	9320	39366
134	9398	39335
135	9478	39306
136	9556	39271
137	9600	39097
138	9675	39049
139	9756	39024
140	9834	38987
141	9906	38928
142	9977	38861
143	10058	38838
144	10139	38810
145	10219	38776
146	10280	38674
147	10343	38577
148	10409	38495
149	10490	38465
150	10548	38352
151	10604	38231
152	10689	38214
153	10752	38122
154	10843	38128
155	10950	38186
156	11035	38165
157	11131	38184
158	11211	38148
159	11278	38063
160	11346	37985
161	11414	37909
162	11496	37873
163	11576	37834
164	11656	37795
165	11735	37752
166	11822	37733
167	11883	37632
168	11962	37586
169	12043	37547
170	12120	37496
171	12193	37432
172	12280	37410
173	12375	37412
174	12456	37370
175	12521	37279
176	12598	37225
177	12674	37169
178	12764	37153
179	12838	37088
180	12923	37057
181	13018	37051
182	13085	36967
183	13171	36937
184	13247	36877
185	13328	36832
186	13421	36819
187	13503	36774
188	13579	36715
189	13657	36659
190	13724	36574
191	13803	36522
192	13880	36464
193	13955	36398
194	14029	36333
195	14109	36281
196	14175	36194
197	14258	36151
198	14346	36117
199	14417	36044
200	14500	35999
201	14583	35954
202	14648	35862
203	14736	35830
204	14807	35754
205	14869	35657
206	14942	35588
207	15029	35551
208	15100	35475
209	15180	35422
210	15263	35374
211	15334	35298
212	15409	35232
213	15477	35150
214	15573	35130
215	15649	35066
216	15715	34980
217	15796	34926
218	15878	34874
219	15956	34813
220	16036	34758
221	16097	34660
222	16157	34560
223	16222	34473
224	16294	34399
225	16360	34313
226	16432	34241
227	16510	34178
228	16582	34106
229	16652	34028
230	16723	33953
231	16797	33885
232	16882	33837
233	16941	33737
234	17007	33652
235	17084	33589
236	17161	33525
237	17236	33458
238	17308	33386
239	17393	33337
240	17467	33268
241	17543	33203
242	17620	33138
243	17700	33080
244	17784	33028
245	17874	32988
246	18014	33038
247	18104	32997
248	18181	32931
249	18261	32870
250	18352	32829
251	18431	32767
252	18515	32712
253	18591	32645
254	18653	32551
255	18743	32507
256	18806	32417
257	18873	32333
258	18948	32263
259	19036	32216
260	19147	32206
261	19244	32172
262	19328	32115
263	19403	32045
264	19488	31990
265	19564	31921
266	19619	31816
267	19685	31732
268	19777	31687
269	19845	31605
